"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+","state"
"13137",305,36,85,184,159,12,43,104,146,24,42,80,283,27,78,178,150,10,39,101,133,18,38,77,8,1,5,2,4,0,3,1,4,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,10,5,3,2,3,1,2,0,7,4,1,2,2,0,0,2,0,0,0,0,2,0,0,2,"13"
"13139",1140,144,343,653,600,50,184,366,540,94,159,287,951,90,276,585,515,32,149,333,436,58,127,251,74,8,33,33,39,3,20,16,35,5,13,17,1,0,1,0,1,0,1,0,0,0,0,0,12,3,4,5,6,2,2,2,6,1,2,3,102,42,29,31,39,13,12,14,62,29,17,16,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13141",57,3,19,35,30,1,9,20,27,2,10,15,21,0,6,14,12,0,3,9,9,0,3,6,34,3,11,20,18,0,7,11,17,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13143",183,25,56,101,97,11,31,56,85,14,26,46,172,23,53,96,92,10,29,53,80,13,24,44,8,1,7,4,4,0,4,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13145",211,23,63,124,112,9,33,70,98,14,30,54,166,19,48,100,90,8,25,57,76,11,22,43,38,4,13,21,19,1,7,11,19,3,4,10,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4,2,1,1,1,1,0,0,3,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,"13"
"13147",168,17,51,100,82,5,25,52,86,12,26,47,139,13,39,86,65,3,18,44,74,10,22,42,25,4,9,12,15,3,4,7,11,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13149",76,9,25,42,40,3,12,25,35,6,13,17,67,8,22,37,36,3,10,23,31,5,12,14,7,0,5,4,4,0,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13151",1135,175,398,561,570,63,205,302,564,113,192,259,631,73,204,354,326,29,106,191,305,45,97,163,428,81,171,176,207,27,88,93,220,54,83,83,2,0,1,1,2,0,1,1,0,0,0,0,24,6,7,11,12,0,3,6,12,3,4,5,44,13,14,17,20,4,6,9,24,9,7,8,3,2,0,1,1,0,0,1,2,2,0,0,"13"
"13153",779,108,253,418,402,35,131,236,378,73,122,183,539,66,166,307,281,21,86,174,259,45,80,133,196,31,73,92,102,10,40,52,94,22,32,40,2,0,1,1,1,0,0,1,1,0,1,0,13,2,4,7,5,1,2,2,8,1,2,5,26,7,9,11,12,3,3,6,14,4,6,4,3,1,1,1,1,0,0,1,2,1,1,0,"13"
"13155",52,5,16,31,28,2,8,18,24,3,8,12,38,4,10,24,20,0,5,15,18,4,5,9,12,4,0,6,8,1,0,4,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13157",395,59,126,209,206,26,69,111,189,33,57,98,354,52,111,191,183,23,60,100,171,29,50,91,22,0,10,12,14,0,6,7,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,2,0,1,1,3,1,0,2,13,4,4,4,7,3,1,3,6,1,3,1,1,0,0,1,1,0,0,1,0,0,0,0,"13"
"13159",102,9,32,61,56,3,17,36,45,5,16,25,82,7,25,50,46,3,12,31,36,4,13,19,17,1,7,9,9,0,4,5,8,1,3,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,"13"
"13161",72,8,22,43,39,3,11,25,34,5,11,17,60,5,18,37,32,2,9,21,28,3,9,16,10,1,3,6,6,0,2,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13163",105,8,34,63,58,3,20,35,47,5,14,28,55,4,18,33,31,2,10,19,24,2,8,14,49,4,15,30,26,1,9,16,22,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13165",43,4,14,25,22,1,8,13,21,3,5,13,29,2,8,19,15,1,3,11,14,1,5,8,13,1,6,6,6,0,5,1,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13167",56,5,20,31,31,2,11,17,25,1,9,15,39,3,12,24,21,1,7,13,18,2,5,11,17,1,8,8,10,0,6,4,7,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13169",188,24,55,109,101,7,33,61,87,17,22,47,142,18,40,84,78,6,24,48,64,12,16,36,43,5,15,23,23,1,9,13,20,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
