"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"244",9109,"408",44,89.0952181771231,2,12,0.00012597698455192447
"244",9109,"446",130,57.1649093300671,35,55,0.0003060137648754722
"244",9109,"507",280,66.4545797441238,7,101,0.00022643844728798373
"244",9109,"508",52,219.549686991105,2,6,0.000020745999135059005
"244",9109,"519",150,94.5087588637733,1,38,0.00011195819299445469
"244",9109,"522",100,96.8453423409827,2,25,0.00010662094381694526
"244",9109,"539",235,124.868283559334,1,45,0.00006413509112228155
"244",9109,"543",174,121.015568873184,1,35,0.00006828377248204607
"244",9109,"544",316,87.5540486726106,3,87,0.00013045103614448334
"244",9109,"801",501,178.440791983466,1,68,0.000031405934149596844
"244",9109,"971",198,36.0970078878537,227,132,0.0007674632550333021
"244",9109,"978",80,46.6404049230624,2,41,0.00045970092278938414
"244",9109,"980",921,63.9408751426588,69,347,0.0002445923377219374
"244",9109,"981",125,51.7387542216403,11,58,0.0003735666218250169
"244",9109,"983",214,69.4982126891293,14,74,0.0002070392703043502
"245",8563,"16",1018,83.476267266517,27,268,0.00014350728834251587
"245",8563,"51",519,132.360150386211,1,86,0.00005708020131392596
"245",8563,"191",206,122.223953895746,1,37,0.0000669402518959527
"245",8563,"213",1013,111.010858621889,3,201,0.00008114636619260185
"245",8563,"216",1709,109.490311248171,4,343,0.00008341585763363829
"245",8563,"225",628,137.319465730504,2,101,0.00005303172939107354
"245",8563,"226",126,131.469918031555,1,21,0.00005785584163267997
"245",8563,"244",128,11.2562156010231,719,250,0.007892510967564274
"245",8563,"292",389,75.0033610953433,5,114,0.00017776184476673163
"245",8563,"301",231,82.5518365722298,17,62,0.000146739326236446
"245",8563,"302",320,80.4395997611792,7,87,0.00015454686434185756
"245",8563,"303",942,81.1075437378277,6,255,0.00015201186984953598
"245",8563,"304",200,77.013235859401,1,57,0.0001686045370322399
"245",8563,"326",654,94.1325404218702,8,153,0.00011285490540591063
"245",8563,"338",91,38.1751287389351,1,52,0.0006861814595822714
"245",8563,"347",524,103.117679534311,2,112,0.00009404457258874268
"245",8563,"359",313,101.831071793326,3,68,0.0000964360404239621
"245",8563,"368",120,91.3127699951801,1,29,0.00011993252168107421
"245",8563,"386",194,220.508955486131,1,19,0.000020565891291144707
"245",8563,"405",278,97.127943642042,7,63,0.00010600140258596479
"245",8563,"406",121,99.4664423168146,2,27,0.00010107571704613306
"245",8563,"446",130,59.9464867974176,21,48,0.00027827393406744296
"245",8563,"450",424,263.352382783138,1,35,0.00001441867974199791
"245",8563,"484",120,76.1520438732249,2,35,0.0001724395464714973
"245",8563,"507",280,58.9528214324554,8,104,0.00028773375288040394
