"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"230500","Shuangyashan",46.68238905377044,131.14797357255904,"23","NA","NA"
"230600","Daqing",46.59363317672175,125.10865763402039,"23","Harbin-Changchun","HC"
"230700","Yichun",47.733318457230936,128.84754638019822,"23","NA","NA"
"230800","Jiamusi",46.80568999085779,130.327359092573,"23","NA","NA"
"230900","Qitaihe",45.77630032154785,131.01154459102744,"23","NA","NA"
"231000","Mudanjiang",44.55624570898632,129.6395397783469,"23","Harbin-Changchun","HC"
"231100","Heihe",50.25127231175015,127.53548988621854,"23","NA","NA"
"231200","Suihua",46.6600321798244,126.97535687530133,"23","Harbin-Changchun","HC"
"232700","GreaterKhingan",50.42002595502784,124.15292785448057,"23","NA","NA"
"310000","Shanghai",31.235929042252014,121.48053886017651,"31","Yangtze River Delta","YRD"
"320100","Nanjing",32.06465288561847,118.80242172124585,"32","Yangtze River Delta","YRD"
"320200","Wuxi",31.498809732685714,120.31858328810601,"32","Yangtze River Delta","YRD"
"320300","Xuzhou",34.21266655011306,117.29057543439453,"32","Yangtze River Delta","YRD"
"320400","Changzhou",31.815795653327836,119.98148471327892,"32","Yangtze River Delta","YRD"
"320500","Suzhou",31.303564074441766,120.59241222959322,"32","Yangtze River Delta","YRD"
"320600","Nantong",31.98654943120089,120.90159173866185,"32","Yangtze River Delta","YRD"
"320700","Lianyungang",34.60224952526725,119.22862133316607,"32","Yangtze River Delta","YRD"
"320800","Huai'an",33.55666778025387,119.11976413248364,"32","Yangtze River Delta","YRD"
"320900","Yancheng",33.355100917626196,120.167544265761,"32","Yangtze River Delta","YRD"
"321000","Yangzhou",32.40067693609037,119.41941890822997,"32","Yangtze River Delta","YRD"
"321100","Zhenjiang",32.19471592052375,119.43048944567383,"32","Yangtze River Delta","YRD"
"321200","Taizhou",32.4606750493083,119.9295663378548,"32","Yangtze River Delta","YRD"
"321300","Suqian",33.96774971569008,118.28157403570837,"32","Yangtze River Delta","YRD"
"330100","Hangzhou",30.25308298169347,120.21551180372168,"33","Yangtze River Delta","YRD"
"330200","Ningbo",29.866068124069646,121.63084278185603,"33","Yangtze River Delta","YRD"
"330300","Wenzhou",28.00108540447221,120.70647689035565,"33","West Coast of Taiwan Strait","WCOTS"
"330400","Jiaxing",30.750974830920143,120.76355182586005,"33","Yangtze River Delta","YRD"
"330500","Huzhou",30.898963937294184,120.09451660915789,"33","Yangtze River Delta","YRD"
"330600","Shaoxing",30.057657361054257,120.59002264710614,"33","Yangtze River Delta","YRD"
"330700","Jinhua",29.084639385513697,119.65343619052916,"33","Yangtze River Delta","YRD"
"330800","Quzhou",28.975545802265025,118.86659674035565,"33","West Coast of Taiwan Strait","WCOTS"
"330900","Zhoushan",29.99091168016034,122.21355631852045,"33","Yangtze River Delta","YRD"
"331000","Taizhou",28.66219405599615,121.42743470427969,"33","Yangtze River Delta","YRD"
"331100","Lishui",28.473278180563412,119.9295730584414,"33","West Coast of Taiwan Strait","WCOTS"
"340100","Hefei",31.826577833686887,117.23344266497664,"34","Yangtze River Delta","YRD"
"340200","Wuhu",31.358536655799266,118.43943137653523,"34","Yangtze River Delta","YRD"
"340300","Bengbu",32.921523704350825,117.39551332813694,"34","Central Plains","CP"
"340400","Huainan",32.63184739905333,117.00638885071616,"34","Yangtze River Delta","YRD"
"340500","Maanshan",31.676265597609103,118.5135795794315,"34","Yangtze River Delta","YRD"
"340600","Huaibei",33.96165630027632,116.8045372670298,"34","Central Plains","CP"
"340700","Tongling",30.95123323991339,117.81847679445747,"34","Yangtze River Delta","YRD"
"340800","Anqing",30.53922247681024,117.1212827542562,"34","Yangtze River Delta","YRD"
"341000","Huangshan",29.721889786591692,118.34543725314781,"34","Yangtze River Delta","YRD"
"341100","Chuzhou",32.26127087204081,118.33940613596579,"34","Yangtze River Delta","YRD"
"341200","Fuyang",32.89606099485221,115.82043612491321,"34","Central Plains","CP"
"341300","Suzhou",33.65209532645213,116.97054394561262,"34","Central Plains","CP"
"341500","Lu'an",31.741450815322555,116.52640966418569,"34","Yangtze River Delta","YRD"
"341600","Bozhou",33.850642695788835,115.7844632112745,"34","Central Plains","CP"
"341700","Chizhou",30.68054196371511,117.50208200570214,"34","Yangtze River Delta","YRD"
"341800","Xuancheng",30.94660154529291,118.76553424276743,"34","Yangtze River Delta","YRD"
